Specimen,Setting_cat,Organism_group,Organism,Total_isolates,Antibiotic,Susceptibility_%
All Specimen,ICU,Gram negative,Acinetobacter calcoaceticus-baumannii complex,72.0,AMIKACIN,100.0
All Specimen,ICU,Gram negative,Acinetobacter calcoaceticus-baumannii complex,72.0,AMOXICILLIN/ CLAVULANIC ACID,
All Specimen,ICU,Gram negative,Acinetobacter calcoaceticus-baumannii complex,72.0,CEFOPERAZONE / SULBACTAM,
All Specimen,ICU,Gram negative,Acinetobacter calcoaceticus-baumannii complex,72.0,CEFTAZIDIME,6.94444465637207
All Specimen,ICU,Gram negative,Acinetobacter calcoaceticus-baumannii complex,72.0,CEFTRIAXONE,1.388888955116272
All Specimen,ICU,Gram negative,Acinetobacter calcoaceticus-baumannii complex,72.0,CIPROFLOXACIN,9.722222328186035
All Specimen,ICU,Gram negative,Acinetobacter calcoaceticus-baumannii complex,72.0,CLINDAMYCIN,
All Specimen,ICU,Gram negative,Acinetobacter calcoaceticus-baumannii complex,72.0,CO-TRIMOXAZOLE,
All Specimen,ICU,Gram negative,Acinetobacter calcoaceticus-baumannii complex,72.0,COLISTIN BY MIC,100.0
All Specimen,ICU,Gram negative,Acinetobacter calcoaceticus-baumannii complex,72.0,ERTAPENEM,
All Specimen,ICU,Gram negative,Acinetobacter calcoaceticus-baumannii complex,72.0,ERYTHROMYCIN,
All Specimen,ICU,Gram negative,Acinetobacter calcoaceticus-baumannii complex,72.0,GENTAMICIN,
All Specimen,ICU,Gram negative,Acinetobacter calcoaceticus-baumannii complex,72.0,IMIPENEM,6.94444465637207
All Specimen,ICU,Gram negative,Acinetobacter calcoaceticus-baumannii complex,72.0,LEVOFLOXACIN,11.11111164093018
All Specimen,ICU,Gram negative,Acinetobacter calcoaceticus-baumannii complex,72.0,MEROPENEM,6.94444465637207
All Specimen,ICU,Gram negative,Acinetobacter calcoaceticus-baumannii complex,72.0,PENICILLIN BY MIC,
All Specimen,ICU,Gram negative,Acinetobacter calcoaceticus-baumannii complex,72.0,PIPERACILLIN / TAZOBACTAM,4.225351810455322
All Specimen,ICU,Gram negative,Acinetobacter calcoaceticus-baumannii complex,72.0,TETRACYCLINE,
All Specimen,ICU,Gram negative,Acinetobacter calcoaceticus-baumannii complex,72.0,VANCOMYCIN,
All Specimen,ICU,Gram negative,Klebsiella pneumoniae (all isolates),18.0,AMIKACIN,94.44444274902344
All Specimen,ICU,Gram negative,Klebsiella pneumoniae (all isolates),18.0,AMOXICILLIN/ CLAVULANIC ACID,50.0
All Specimen,ICU,Gram negative,Klebsiella pneumoniae (all isolates),18.0,CEFOPERAZONE / SULBACTAM,50.0
All Specimen,ICU,Gram negative,Klebsiella pneumoniae (all isolates),18.0,CEFTAZIDIME,44.4444465637207
All Specimen,ICU,Gram negative,Klebsiella pneumoniae (all isolates),18.0,CEFTRIAXONE,33.33333587646484
All Specimen,ICU,Gram negative,Klebsiella pneumoniae (all isolates),18.0,CIPROFLOXACIN,50.0
All Specimen,ICU,Gram negative,Klebsiella pneumoniae (all isolates),18.0,CLINDAMYCIN,
All Specimen,ICU,Gram negative,Klebsiella pneumoniae (all isolates),18.0,CO-TRIMOXAZOLE,
All Specimen,ICU,Gram negative,Klebsiella pneumoniae (all isolates),18.0,COLISTIN BY MIC,100.0
All Specimen,ICU,Gram negative,Klebsiella pneumoniae (all isolates),18.0,ERTAPENEM,61.11111068725586
All Specimen,ICU,Gram negative,Klebsiella pneumoniae (all isolates),18.0,ERYTHROMYCIN,
All Specimen,ICU,Gram negative,Klebsiella pneumoniae (all isolates),18.0,GENTAMICIN,
All Specimen,ICU,Gram negative,Klebsiella pneumoniae (all isolates),18.0,IMIPENEM,66.66667175292969
All Specimen,ICU,Gram negative,Klebsiella pneumoniae (all isolates),18.0,LEVOFLOXACIN,50.0
All Specimen,ICU,Gram negative,Klebsiella pneumoniae (all isolates),18.0,MEROPENEM,66.66667175292969
All Specimen,ICU,Gram negative,Klebsiella pneumoniae (all isolates),18.0,PENICILLIN BY MIC,
All Specimen,ICU,Gram negative,Klebsiella pneumoniae (all isolates),18.0,PIPERACILLIN / TAZOBACTAM,50.0
All Specimen,ICU,Gram negative,Klebsiella pneumoniae (all isolates),18.0,TETRACYCLINE,
All Specimen,ICU,Gram negative,Klebsiella pneumoniae (all isolates),18.0,VANCOMYCIN,
All Specimen,ICU,Gram negative,Pseudomonas aeruginosa (all isolates),22.0,AMIKACIN,100.0
All Specimen,ICU,Gram negative,Pseudomonas aeruginosa (all isolates),22.0,AMOXICILLIN/ CLAVULANIC ACID,
